audio_id,speaker_id,protocol,split,role,embedding_path,file_exists,embedding_dim,dimension_ok,has_nan,is_zero_vector,l2_norm,l2_norm_ok,latency_ms,latency_ok,valid,issues
15725,exp_svm_spk_0001,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/v2/svm_closed_set/svm_closed_set_enrollment/15725.npy,true,192,true,false,false,1.00000000,true,813.147,true,true,
8372,exp_svm_spk_0001,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/v2/svm_closed_set/svm_closed_set_enrollment/8372.npy,true,192,true,false,false,0.99999994,true,1200.153,true,true,
16570,exp_svm_spk_0001,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/v2/svm_closed_set/svm_closed_set_enrollment/16570.npy,true,192,true,false,false,0.99999994,true,1700.324,true,true,
8072,exp_svm_spk_0001,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/v2/svm_closed_set/svm_closed_set_enrollment/8072.npy,true,192,true,false,false,0.99999994,true,2050.703,true,true,
13384,exp_svm_spk_0001,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/v2/svm_closed_set/svm_closed_set_enrollment/13384.npy,true,192,true,false,false,0.99999994,true,1248.854,true,true,
4723,exp_svm_spk_0002,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/v2/svm_closed_set/svm_closed_set_enrollment/4723.npy,true,192,true,false,false,0.99999988,true,2177.814,true,true,
10666,exp_svm_spk_0002,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/v2/svm_closed_set/svm_closed_set_enrollment/10666.npy,true,192,true,false,false,1.00000000,true,981.391,true,true,
10924,exp_svm_spk_0002,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/v2/svm_closed_set/svm_closed_set_enrollment/10924.npy,true,192,true,false,false,1.00000000,true,514.933,true,true,
12352,exp_svm_spk_0002,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/v2/svm_closed_set/svm_closed_set_enrollment/12352.npy,true,192,true,false,false,1.00000000,true,1133.690,true,true,
12715,exp_svm_spk_0002,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/v2/svm_closed_set/svm_closed_set_enrollment/12715.npy,true,192,true,false,false,1.00000000,true,521.771,true,true,
