recording_id,expected_user_id,candidate_user_id,cosine_similarity,application_sid_threshold,status,correct,latency_ms
REC_VAL0016,user_001,user_001,0.720159649848938,0.51307271,KNOWN,true,8140.383299905807
REC_VAL0019,user_001,user_001,0.7368600368499756,0.51307271,KNOWN,true,1359.3562000896782
REC_VAL0023,user_001,user_001,0.8046958446502686,0.51307271,KNOWN,true,1429.597299778834
REC_VAL0026,user_001,user_001,0.6538004875183105,0.51307271,KNOWN,true,3772.397000109777
REC_VAL0029,user_001,user_001,0.7791668176651001,0.51307271,KNOWN,true,1208.3975998684764
REC_VAL0017,user_002,user_002,0.787262499332428,0.51307271,KNOWN,true,2589.374899864197
REC_VAL0020,user_002,,0.5012327432632446,0.51307271,UNKNOWN,false,1637.992599979043
REC_VAL0021,user_002,user_002,0.598625659942627,0.51307271,KNOWN,true,1097.4999000318348
REC_VAL0024,user_002,user_002,0.7309983968734741,0.51307271,KNOWN,true,920.0661000795662
REC_VAL0027,user_002,user_002,0.7525927424430847,0.51307271,KNOWN,true,930.6310000829399
REC_VAL0018,user_003,user_003,0.7073277235031128,0.51307271,KNOWN,true,1620.2554998453707
REC_VAL0022,user_003,user_003,0.6079063415527344,0.51307271,KNOWN,true,1469.375800108537
REC_VAL0025,user_003,user_003,0.64616459608078,0.51307271,KNOWN,true,1966.3307999726385
REC_VAL0028,user_003,user_003,0.6279876828193665,0.51307271,KNOWN,true,1383.3448002114892
REC_VAL0030,user_003,user_003,0.675574779510498,0.51307271,KNOWN,true,2752.3425000254065
