user_id,source_speaker_id,role,recording_id,audio_path,command_split,centroid_path,speaker_model_training,dataset_version
user_001,cmdspk01,ENROLLMENT,REC_VAL0001,data/commands/audio/validation/REC_VAL0001_cmdspk01.wav,validation,models/application/user_embeddings/user_001.npy,false,application-demo-v1
user_001,cmdspk01,ENROLLMENT,REC_VAL0004,data/commands/audio/validation/REC_VAL0004_cmdspk01.wav,validation,models/application/user_embeddings/user_001.npy,false,application-demo-v1
user_001,cmdspk01,ENROLLMENT,REC_VAL0008,data/commands/audio/validation/REC_VAL0008_cmdspk01.wav,validation,models/application/user_embeddings/user_001.npy,false,application-demo-v1
user_001,cmdspk01,ENROLLMENT,REC_VAL0012,data/commands/audio/validation/REC_VAL0012_cmdspk01.wav,validation,models/application/user_embeddings/user_001.npy,false,application-demo-v1
user_001,cmdspk01,ENROLLMENT,REC_VAL0015,data/commands/audio/validation/REC_VAL0015_cmdspk01.wav,validation,models/application/user_embeddings/user_001.npy,false,application-demo-v1
user_001,cmdspk01,HELDOUT_QUERY,REC_VAL0016,data/commands/audio/validation/REC_VAL0016_cmdspk01.wav,validation,models/application/user_embeddings/user_001.npy,false,application-demo-v1
user_001,cmdspk01,HELDOUT_QUERY,REC_VAL0019,data/commands/audio/validation/REC_VAL0019_cmdspk01.wav,validation,models/application/user_embeddings/user_001.npy,false,application-demo-v1
user_001,cmdspk01,HELDOUT_QUERY,REC_VAL0023,data/commands/audio/validation/REC_VAL0023_cmdspk01.wav,validation,models/application/user_embeddings/user_001.npy,false,application-demo-v1
user_001,cmdspk01,HELDOUT_QUERY,REC_VAL0026,data/commands/audio/validation/REC_VAL0026_cmdspk01.wav,validation,models/application/user_embeddings/user_001.npy,false,application-demo-v1
user_001,cmdspk01,HELDOUT_QUERY,REC_VAL0029,data/commands/audio/validation/REC_VAL0029_cmdspk01.wav,validation,models/application/user_embeddings/user_001.npy,false,application-demo-v1
user_002,cmdspk02,ENROLLMENT,REC_VAL0002,data/commands/audio/validation/REC_VAL0002_cmdspk02.wav,validation,models/application/user_embeddings/user_002.npy,false,application-demo-v1
user_002,cmdspk02,ENROLLMENT,REC_VAL0005,data/commands/audio/validation/REC_VAL0005_cmdspk02.wav,validation,models/application/user_embeddings/user_002.npy,false,application-demo-v1
user_002,cmdspk02,ENROLLMENT,REC_VAL0006,data/commands/audio/validation/REC_VAL0006_cmdspk02.wav,validation,models/application/user_embeddings/user_002.npy,false,application-demo-v1
user_002,cmdspk02,ENROLLMENT,REC_VAL0009,data/commands/audio/validation/REC_VAL0009_cmdspk02.wav,validation,models/application/user_embeddings/user_002.npy,false,application-demo-v1
user_002,cmdspk02,ENROLLMENT,REC_VAL0013,data/commands/audio/validation/REC_VAL0013_cmdspk02.wav,validation,models/application/user_embeddings/user_002.npy,false,application-demo-v1
user_002,cmdspk02,HELDOUT_QUERY,REC_VAL0017,data/commands/audio/validation/REC_VAL0017_cmdspk02.wav,validation,models/application/user_embeddings/user_002.npy,false,application-demo-v1
user_002,cmdspk02,HELDOUT_QUERY,REC_VAL0020,data/commands/audio/validation/REC_VAL0020_cmdspk02.wav,validation,models/application/user_embeddings/user_002.npy,false,application-demo-v1
user_002,cmdspk02,HELDOUT_QUERY,REC_VAL0021,data/commands/audio/validation/REC_VAL0021_cmdspk02.wav,validation,models/application/user_embeddings/user_002.npy,false,application-demo-v1
user_002,cmdspk02,HELDOUT_QUERY,REC_VAL0024,data/commands/audio/validation/REC_VAL0024_cmdspk02.wav,validation,models/application/user_embeddings/user_002.npy,false,application-demo-v1
user_002,cmdspk02,HELDOUT_QUERY,REC_VAL0027,data/commands/audio/validation/REC_VAL0027_cmdspk02.wav,validation,models/application/user_embeddings/user_002.npy,false,application-demo-v1
user_003,cmdspk03,ENROLLMENT,REC_VAL0003,data/commands/audio/validation/REC_VAL0003_cmdspk03.wav,validation,models/application/user_embeddings/user_003.npy,false,application-demo-v1
user_003,cmdspk03,ENROLLMENT,REC_VAL0007,data/commands/audio/validation/REC_VAL0007_cmdspk03.wav,validation,models/application/user_embeddings/user_003.npy,false,application-demo-v1
user_003,cmdspk03,ENROLLMENT,REC_VAL0010,data/commands/audio/validation/REC_VAL0010_cmdspk03.wav,validation,models/application/user_embeddings/user_003.npy,false,application-demo-v1
user_003,cmdspk03,ENROLLMENT,REC_VAL0011,data/commands/audio/validation/REC_VAL0011_cmdspk03.wav,validation,models/application/user_embeddings/user_003.npy,false,application-demo-v1
user_003,cmdspk03,ENROLLMENT,REC_VAL0014,data/commands/audio/validation/REC_VAL0014_cmdspk03.wav,validation,models/application/user_embeddings/user_003.npy,false,application-demo-v1
user_003,cmdspk03,HELDOUT_QUERY,REC_VAL0018,data/commands/audio/validation/REC_VAL0018_cmdspk03.wav,validation,models/application/user_embeddings/user_003.npy,false,application-demo-v1
user_003,cmdspk03,HELDOUT_QUERY,REC_VAL0022,data/commands/audio/validation/REC_VAL0022_cmdspk03.wav,validation,models/application/user_embeddings/user_003.npy,false,application-demo-v1
user_003,cmdspk03,HELDOUT_QUERY,REC_VAL0025,data/commands/audio/validation/REC_VAL0025_cmdspk03.wav,validation,models/application/user_embeddings/user_003.npy,false,application-demo-v1
user_003,cmdspk03,HELDOUT_QUERY,REC_VAL0028,data/commands/audio/validation/REC_VAL0028_cmdspk03.wav,validation,models/application/user_embeddings/user_003.npy,false,application-demo-v1
user_003,cmdspk03,HELDOUT_QUERY,REC_VAL0030,data/commands/audio/validation/REC_VAL0030_cmdspk03.wav,validation,models/application/user_embeddings/user_003.npy,false,application-demo-v1
