exists,readable,duration,sample_rate,channels,is_empty,low_volume,long_silence,reason,audio_id,audio_path
True,True,4.38,48000,1,False,True,False,low_volume,12053,train-115/ddd9fc1eee9336973c9de546c7af4794.wav
True,True,2.58,48000,1,False,True,False,low_volume,3948,train-115/36d3ce186ec4b08d21b1c0c0dfff44dd.wav
True,True,2.34,48000,1,False,True,False,low_volume,1100,train-115/b6183a1c39fe27478e903d5471695d9d.wav
True,True,2.94,48000,1,False,True,False,low_volume,12356,train-115/3bc7349db9598cda788b24325535b59e.wav
True,True,2.76,48000,1,False,True,False,low_volume,1155,train-115/1e3fb8cc6f1f9d92674f0ef67ba63aa9.wav
True,True,2.04,48000,1,False,True,False,low_volume,10137,train-115/af92d69ea7b95fb35d777b9c2423f020.wav
True,True,3.54,48000,1,False,True,False,low_volume,12983,train-115/16bb4742f4e9ca5fc775a69c022682b9.wav
True,True,3.96,48000,1,False,True,False,low_volume,912,train-115/58191964228cf3ba48c1a7a48e4df208.wav
True,True,2.7,48000,1,False,True,False,low_volume,13565,train-115/56484e22b2ce80e9bde8ce6178ced117.wav
True,True,2.94,48000,1,False,True,False,low_volume,12033,train-115/bf5f569d8280dfd68f64ac0539335991.wav
True,True,3.54,48000,1,False,True,False,low_volume,9911,train-115/c37b7c112d045d3f52384ddc2b6f72ef.wav
True,True,2.58,48000,1,False,True,False,low_volume,694,train-115/c52af28aedefc39c089491296255f81c.wav
True,True,2.4,48000,1,False,True,False,low_volume,11048,train-115/d3c86159f901c0e0252d7accd290da80.wav
True,True,4.56,48000,1,False,True,False,low_volume,11983,train-115/83c88be4d53dc357fca9863bb5d72c73.wav
True,True,3.9,48000,1,False,True,False,low_volume,3271,train-115/1bd003c9efc79a2b467772d26f119682.wav
True,True,3.36,48000,1,False,True,False,low_volume,6781,train-115/cfef92a7d2088c8a50442da6e7d32004.wav
True,True,3.12,48000,1,False,True,False,low_volume,12154,train-115/0a9f2411e5c09222b1a2b0043a0511c8.wav
True,True,3.42,48000,1,False,True,False,low_volume,34,train-115/e9a5d178a066b64c9e1b3e3120806e9b.wav
True,True,5.22,48000,1,False,True,False,low_volume,6659,train-115/1ddcd253e4d44d1ea7ece96a2de7edea.wav
True,True,3.42,48000,1,False,True,False,low_volume,10452,train-115/d2c639eeec1c9049ab61cf3551cfda62.wav
True,True,3.42,48000,1,False,True,False,low_volume,12495,train-115/13aa4c27059e0ffc998d88df282415e9.wav
True,True,4.8,48000,1,False,True,False,low_volume,1255,train-115/475ce5b786164340d8425bffd8d680af.wav
True,True,5.52,48000,1,False,True,False,low_volume,13311,train-115/d381483249dba5a4f96e0ff8000376b3.wav
True,True,6.78,48000,1,False,True,False,low_volume,12131,train-115/a815d719571a13618cfa3c1b81fa5e9a.wav
True,True,3.36,48000,1,False,True,False,low_volume,87,train-115/ccfed11cc314723cb7f0a1eb9da9d88c.wav
True,True,3.12,48000,1,False,True,False,low_volume,9223,train-115/a1142846a7468bef23db0fa6e6dc67af.wav
True,True,4.08,48000,1,False,True,False,low_volume,16621,train-115/30213f1afa2939a0471b874831924904.wav
True,True,2.52,48000,1,False,True,False,low_volume,5880,train-115/db2a7773213c78050437ee4fb38f87bc.wav
True,True,2.88,48000,1,False,True,False,low_volume,492,train-115/f0b284033d2542bd453836da86b4b313.wav
True,True,4.08,48000,1,False,True,False,low_volume,11893,train-115/83e363ece538bbd48f645452ee1209b4.wav
True,True,3.0,48000,1,False,True,False,low_volume,276,train-115/48fdca30b75b9ae608a1f91ef340ed86.wav
True,True,3.36,48000,1,False,True,False,low_volume,8695,train-115/713442e9e642b98c5cc55a60b576b198.wav
True,True,4.32,48000,1,False,True,False,low_volume,15184,train-115/511611cf7651d94e635a1e6c1d62f42d.wav
True,True,2.94,48000,1,False,True,False,low_volume,11374,dev/df176441868ebad1bc973aae0bac5111.wav
