speaker_id,num_audio,total_duration,speaker_sex,speaker_age
6552b16899091e4aaa587d1b,151,494.82,Male,33
6537e43c008bb605430a302f,144,341.16,Female,29
5c9d67af9e01ef000197cd15,100,387.6,Female,59
5e133bbe6a5bff9911b73cfc,100,343.68,Female,31
6557ebf8541bd32382739c1a,100,464.94,Female,30
5ee49e71f8d19d00098aca3e,99,334.14,Male,27
5e4247e718b8910d4a2b9a34,99,408.66,Female,32
5fb84feecf0626000b30cbd3,99,291.66,Male,29
604b93f6432ad99bcb4798e8,98,659.4556666666666,Male,31
63cfbea470ab1bba9db30082,97,238.8,Male,21
6573b7471b56f7fc59a7df63,96,380.52,Female,48
63e534e8ae837950bc60d88b,88,233.4,Male,30
616ca5967d36f0000bd47b78,82,373.68,Female,36
6549198eec431d4a6768a13e,69,174.54,Male,21
652d516527ad747c966f5af4,68,279.18,Female,32
6346ccfb37ed7169c9b634fc,65,175.7905,Female,40
5c76a2d39dd0fe0001d9dfe0,62,327.04516666666666,Female,36
6393bb7fbbd2bb29f99e6c9b,59,158.34,Male,28
6551b3e927c9931d057a19a1,56,363.0,Male,45
60fcdd4360f55caf7828de7b,53,136.26,Female,24
60d3432bc679834595ca8139,51,219.06,Male,51
655022ac88df62f61f5b47a6,38,107.4,Male,23
650b02ed6511bb3fbf5da880,30,145.14,Female,31
5fa23c9b64b18a4067cc842e,30,140.94,Male,37
646fec4b0c1269c0b550130f,30,94.02,Female,26
60b0f68c2d6061d4fce96316,30,98.52,Female,29
6125b9496ba8eb9bcd1f60f1,30,135.9,Male,25
5cf03d69b094d700013e4d54,20,71.58,Female,31
5e25be7c5514e680ef436338,20,83.88,Female,33
65a242d84b379f4cebea1b21,20,67.98,Male,24
65718bf0ad0f780a67a20790,20,66.17999999999999,Male,24
657c8d982832af573ef2c039,20,61.8,Female,34
659ea35db097ea3c414b04c0,14,54.239999999999995,Female,31
654fbd224eaf197c8678bd57,9,42.9,Unidentified,Unidentified
5f888877136ad50208b48b47,1,4.44,Unidentified,Unidentified
