speaker_id,normalized_speaker_id,protocol,role,project_split,num_audio
6552b16899091e4aaa587d1b,exp_svm_spk_0001,SVM_CLOSED_SET,SVM_EXPERIMENTAL,SVM,151
6537e43c008bb605430a302f,exp_svm_spk_0002,SVM_CLOSED_SET,SVM_EXPERIMENTAL,SVM,144
5c9d67af9e01ef000197cd15,exp_svm_spk_0003,SVM_CLOSED_SET,SVM_EXPERIMENTAL,SVM,100
5e133bbe6a5bff9911b73cfc,exp_svm_spk_0004,SVM_CLOSED_SET,SVM_EXPERIMENTAL,SVM,100
6557ebf8541bd32382739c1a,exp_svm_spk_0005,SVM_CLOSED_SET,SVM_EXPERIMENTAL,SVM,100
5ee49e71f8d19d00098aca3e,exp_svm_spk_0006,SVM_CLOSED_SET,SVM_EXPERIMENTAL,SVM,99
5e4247e718b8910d4a2b9a34,exp_svm_spk_0007,SVM_CLOSED_SET,SVM_EXPERIMENTAL,SVM,99
5fb84feecf0626000b30cbd3,exp_svm_spk_0008,SVM_CLOSED_SET,SVM_EXPERIMENTAL,SVM,99
604b93f6432ad99bcb4798e8,exp_svm_spk_0009,SVM_CLOSED_SET,SVM_EXPERIMENTAL,SVM,98
63cfbea470ab1bba9db30082,exp_svm_spk_0010,SVM_CLOSED_SET,SVM_EXPERIMENTAL,SVM,97
6573b7471b56f7fc59a7df63,val_enrolled_spk_0001,COSINE_VALIDATION,ENROLLED,VALIDATION,96
63e534e8ae837950bc60d88b,val_enrolled_spk_0002,COSINE_VALIDATION,ENROLLED,VALIDATION,88
616ca5967d36f0000bd47b78,val_unknown_spk_0001,COSINE_VALIDATION,UNKNOWN,VALIDATION,82
6549198eec431d4a6768a13e,val_unknown_spk_0002,COSINE_VALIDATION,UNKNOWN,VALIDATION,69
652d516527ad747c966f5af4,test_enrolled_spk_0001,COSINE_TEST,ENROLLED,TEST,68
6346ccfb37ed7169c9b634fc,test_enrolled_spk_0002,COSINE_TEST,ENROLLED,TEST,65
5c76a2d39dd0fe0001d9dfe0,test_unknown_spk_0001,COSINE_TEST,UNKNOWN,TEST,62
6393bb7fbbd2bb29f99e6c9b,test_unknown_spk_0002,COSINE_TEST,UNKNOWN,TEST,59
