audio_id,speaker_id,protocol,split,role,embedding_path,file_exists,embedding_dim,dimension_ok,has_nan,is_zero_vector,l2_norm,l2_norm_ok,latency_ms,latency_ok,valid,issues
15725,exp_svm_spk_0001,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/svm_closed_set/svm_closed_set_enrollment/15725.npy,true,192,true,false,false,1.00000000,true,910.860,true,true,
8372,exp_svm_spk_0001,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/svm_closed_set/svm_closed_set_enrollment/8372.npy,true,192,true,false,false,0.99999994,true,807.571,true,true,
16570,exp_svm_spk_0001,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/svm_closed_set/svm_closed_set_enrollment/16570.npy,true,192,true,false,false,1.00000000,true,599.657,true,true,
8072,exp_svm_spk_0001,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/svm_closed_set/svm_closed_set_enrollment/8072.npy,true,192,true,false,false,1.00000000,true,573.828,true,true,
13384,exp_svm_spk_0001,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/svm_closed_set/svm_closed_set_enrollment/13384.npy,true,192,true,false,false,1.00000000,true,425.121,true,true,
4723,exp_svm_spk_0002,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/svm_closed_set/svm_closed_set_enrollment/4723.npy,true,192,true,false,false,1.00000000,true,483.362,true,true,
10666,exp_svm_spk_0002,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/svm_closed_set/svm_closed_set_enrollment/10666.npy,true,192,true,false,false,0.99999994,true,421.937,true,true,
10924,exp_svm_spk_0002,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/svm_closed_set/svm_closed_set_enrollment/10924.npy,true,192,true,false,false,1.00000000,true,336.434,true,true,
12352,exp_svm_spk_0002,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/svm_closed_set/svm_closed_set_enrollment/12352.npy,true,192,true,false,false,0.99999994,true,623.178,true,true,
12715,exp_svm_spk_0002,SVM_CLOSED_SET,svm_closed_set_enrollment,SVM_EXPERIMENTAL,data/embeddings/svm_closed_set/svm_closed_set_enrollment/12715.npy,true,192,true,false,false,1.00000000,true,367.251,true,true,
