epoch,train_loss,train_macro_f1,valid_eer,valid_eer_threshold,valid_min_dcf,valid_min_dcf_threshold,valid_tar_at_far_1pct
1,10.724943129083385,0.1566225868862432,0.06799999999999998,0.43163591623306274,0.21760000000000004,0.5794733762741089,0.868
2,6.401041100828544,0.6119529905327702,0.06799999999999998,0.43163591623306274,0.21760000000000004,0.5794733762741089,0.868
3,8.902579801652742,0.31232204719322254,0.058000000000000024,0.27028876543045044,0.23359999999999995,0.443586140871048,0.888
4,7.9225491617036905,0.43049727321183373,0.060000000000000026,0.26985347270965576,0.248,0.4792984127998352,0.876
5,7.201097267814305,0.5131730636164066,0.058000000000000024,0.25592100620269775,0.23600000000000002,0.466471403837204,0.884
6,6.710024790724982,0.565005061628203,0.05600000000000002,0.2769217789173126,0.2616,0.4769866168498993,0.87
7,6.424756660202275,0.5975234038999417,0.058000000000000024,0.2859376072883606,0.254,0.49678346514701843,0.884
8,6.124519602410171,0.6351382411274493,0.057600000000000026,0.26398929953575134,0.24559999999999998,0.4546692371368408,0.88
9,5.974456986726626,0.6510547043241588,0.05200000000000002,0.2559107542037964,0.23920000000000005,0.4322190284729004,0.894
10,5.825860689748889,0.66396168713006,0.058000000000000024,0.2744985818862915,0.208,0.4575679302215576,0.884
11,5.753335888515348,0.6723624784659221,0.05600000000000002,0.28838270902633667,0.258,0.49823012948036194,0.876
12,5.6697862722627494,0.68644936648267,0.058000000000000024,0.25668150186538696,0.21599999999999994,0.4583587348461151,0.88
